ROS Processes Log
iteration: 121 ; CPU: 50.12% ; MEM: 4706.36 
iteration: 122 ; CPU: 38.98% ; MEM: 4666.76 
iteration: 123 ; CPU: 39.37% ; MEM: 4668.05 
iteration: 124 ; CPU: 45.48% ; MEM: 4668.05 
iteration: 125 ; CPU: 46.26% ; MEM: 4669.36 
iteration: 126 ; CPU: 36.33% ; MEM: 4634.38 
iteration: 127 ; CPU: 36.69% ; MEM: 4669.31 
iteration: 128 ; CPU: 37.10% ; MEM: 4678.37 
iteration: 129 ; CPU: 37.50% ; MEM: 4678.83 
iteration: 130 ; CPU: 37.83% ; MEM: 4679.35 
iteration: 131 ; CPU: 43.67% ; MEM: 4686.06 
iteration: 132 ; CPU: 44.41% ; MEM: 4688.67 
iteration: 133 ; CPU: 35.23% ; MEM: 4648.03 
iteration: 134 ; CPU: 35.57% ; MEM: 4665.55 
iteration: 135 ; CPU: 36.05% ; MEM: 4763.49 
iteration: 136 ; CPU: 36.43% ; MEM: 4814.57 
iteration: 137 ; CPU: 64.21% ; MEM: 4822.95 
iteration: 138 ; CPU: 65.12% ; MEM: 4824.46 
iteration: 139 ; CPU: 66.80% ; MEM: 4851.46 
iteration: 140 ; CPU: 46.15% ; MEM: 4744.68 
iteration: 141 ; CPU: 46.92% ; MEM: 4751.41 
iteration: 142 ; CPU: 35.17% ; MEM: 4710.91 
iteration: 143 ; CPU: 35.51% ; MEM: 4711.94 
iteration: 144 ; CPU: 38.84% ; MEM: 4711.97 
iteration: 145 ; CPU: 33.33% ; MEM: 4672.01 
iteration: 146 ; CPU: 33.63% ; MEM: 4680.26 
iteration: 147 ; CPU: 33.90% ; MEM: 4680.51 
iteration: 148 ; CPU: 34.14% ; MEM: 4681.55 
iteration: 149 ; CPU: 34.45% ; MEM: 4681.55 
iteration: 150 ; CPU: 34.74% ; MEM: 4681.56 
iteration: 151 ; CPU: 32.47% ; MEM: 4684.66 
iteration: 152 ; CPU: 32.74% ; MEM: 4691.36 
iteration: 153 ; CPU: 32.98% ; MEM: 4692.14 
iteration: 154 ; CPU: 33.25% ; MEM: 4692.65 
iteration: 155 ; CPU: 33.52% ; MEM: 4692.65 
iteration: 156 ; CPU: 33.76% ; MEM: 4692.66 
iteration: 157 ; CPU: 34.04% ; MEM: 4694.20 
iteration: 158 ; CPU: 32.05% ; MEM: 4702.45 
iteration: 159 ; CPU: 32.31% ; MEM: 4703.48 
iteration: 160 ; CPU: 32.54% ; MEM: 4703.74 
iteration: 161 ; CPU: 32.76% ; MEM: 4703.74 
iteration: 162 ; CPU: 33.01% ; MEM: 4703.74 
iteration: 163 ; CPU: 33.30% ; MEM: 4704.28 
iteration: 164 ; CPU: 33.54% ; MEM: 4706.60 
iteration: 165 ; CPU: 31.70% ; MEM: 4715.12 
iteration: 166 ; CPU: 31.93% ; MEM: 4715.12 
iteration: 167 ; CPU: 32.18% ; MEM: 4715.12 
iteration: 168 ; CPU: 32.40% ; MEM: 4715.12 
iteration: 169 ; CPU: 32.62% ; MEM: 4715.12 
iteration: 170 ; CPU: 32.85% ; MEM: 4715.12 
iteration: 171 ; CPU: 33.15% ; MEM: 4718.76 
iteration: 172 ; CPU: 31.40% ; MEM: 4719.32 
iteration: 173 ; CPU: 31.61% ; MEM: 4719.91 
iteration: 174 ; CPU: 31.83% ; MEM: 4719.92 
iteration: 175 ; CPU: 32.03% ; MEM: 4719.92 
iteration: 176 ; CPU: 32.26% ; MEM: 4720.51 
iteration: 177 ; CPU: 32.47% ; MEM: 4720.51 
iteration: 178 ; CPU: 32.73% ; MEM: 4720.51 
iteration: 179 ; CPU: 31.08% ; MEM: 4720.51 
iteration: 180 ; CPU: 31.26% ; MEM: 4720.51 
iteration: 181 ; CPU: 31.48% ; MEM: 4720.51 
iteration: 182 ; CPU: 31.66% ; MEM: 4720.51 
iteration: 183 ; CPU: 31.87% ; MEM: 4720.51 
iteration: 184 ; CPU: 32.11% ; MEM: 4720.51 
iteration: 185 ; CPU: 32.34% ; MEM: 4720.51 
iteration: 186 ; CPU: 30.83% ; MEM: 4720.51 
iteration: 187 ; CPU: 31.03% ; MEM: 4720.51 
iteration: 188 ; CPU: 31.22% ; MEM: 4720.51 
iteration: 189 ; CPU: 31.48% ; MEM: 4721.29 
iteration: 190 ; CPU: 31.67% ; MEM: 4723.87 
iteration: 191 ; CPU: 31.85% ; MEM: 4723.87 
iteration: 192 ; CPU: 32.02% ; MEM: 4730.31 
iteration: 193 ; CPU: 32.22% ; MEM: 4730.31 
iteration: 194 ; CPU: 30.75% ; MEM: 4730.31 
iteration: 195 ; CPU: 30.92% ; MEM: 4730.31 
iteration: 196 ; CPU: 31.10% ; MEM: 4730.31 
iteration: 197 ; CPU: 31.29% ; MEM: 4730.31 
iteration: 198 ; CPU: 31.52% ; MEM: 4730.31 
iteration: 199 ; CPU: 31.73% ; MEM: 4730.31 
