Java Processes Log
iteration: 138 ; CPU: 1.52% ; MEM: 852.49 MB
iteration: 139 ; CPU: 1.51% ; MEM: 852.49 MB
iteration: 140 ; CPU: 1.50% ; MEM: 859.70 MB
iteration: 141 ; CPU: 1.49% ; MEM: 859.70 MB
iteration: 142 ; CPU: 1.49% ; MEM: 859.70 MB
iteration: 143 ; CPU: 1.48% ; MEM: 859.70 MB
iteration: 144 ; CPU: 1.47% ; MEM: 859.80 MB
iteration: 145 ; CPU: 1.47% ; MEM: 859.80 MB
iteration: 146 ; CPU: 1.46% ; MEM: 859.93 MB
iteration: 147 ; CPU: 1.46% ; MEM: 859.93 MB
iteration: 148 ; CPU: 1.45% ; MEM: 851.79 MB
iteration: 149 ; CPU: 1.45% ; MEM: 851.79 MB
iteration: 150 ; CPU: 1.45% ; MEM: 851.89 MB
iteration: 151 ; CPU: 1.44% ; MEM: 851.89 MB
iteration: 152 ; CPU: 1.44% ; MEM: 851.89 MB
iteration: 153 ; CPU: 1.43% ; MEM: 851.89 MB
iteration: 154 ; CPU: 1.43% ; MEM: 851.89 MB
iteration: 155 ; CPU: 1.42% ; MEM: 851.89 MB
iteration: 156 ; CPU: 1.42% ; MEM: 851.89 MB
iteration: 157 ; CPU: 1.41% ; MEM: 851.89 MB
iteration: 158 ; CPU: 1.41% ; MEM: 853.96 MB
iteration: 159 ; CPU: 1.41% ; MEM: 854.38 MB
iteration: 160 ; CPU: 1.40% ; MEM: 854.38 MB
iteration: 161 ; CPU: 1.40% ; MEM: 854.64 MB
iteration: 162 ; CPU: 1.38% ; MEM: 857.82 MB
iteration: 163 ; CPU: 1.38% ; MEM: 858.53 MB
iteration: 164 ; CPU: 1.38% ; MEM: 863.62 MB
iteration: 165 ; CPU: 1.38% ; MEM: 863.69 MB
iteration: 166 ; CPU: 1.38% ; MEM: 863.87 MB
iteration: 167 ; CPU: 1.37% ; MEM: 864.61 MB
iteration: 168 ; CPU: 1.37% ; MEM: 864.61 MB
iteration: 169 ; CPU: 1.36% ; MEM: 864.79 MB
iteration: 170 ; CPU: 1.36% ; MEM: 864.92 MB
iteration: 171 ; CPU: 1.35% ; MEM: 864.92 MB
iteration: 172 ; CPU: 1.35% ; MEM: 864.92 MB
iteration: 173 ; CPU: 1.35% ; MEM: 864.92 MB
iteration: 174 ; CPU: 1.35% ; MEM: 864.92 MB
iteration: 175 ; CPU: 1.34% ; MEM: 865.03 MB
iteration: 176 ; CPU: 1.34% ; MEM: 865.03 MB
iteration: 177 ; CPU: 1.33% ; MEM: 865.03 MB
iteration: 178 ; CPU: 1.33% ; MEM: 865.03 MB
iteration: 179 ; CPU: 1.33% ; MEM: 865.12 MB
iteration: 180 ; CPU: 1.32% ; MEM: 865.12 MB
