ROS Processes Log
iteration: 99 ; CPU: 30.62% ; MEM: 4681.10 MB
iteration: 100 ; CPU: 30.63% ; MEM: 4681.10 MB
iteration: 101 ; CPU: 30.64% ; MEM: 4681.20 MB
iteration: 102 ; CPU: 30.69% ; MEM: 4681.20 MB
iteration: 103 ; CPU: 30.71% ; MEM: 4681.20 MB
iteration: 104 ; CPU: 30.71% ; MEM: 4681.20 MB
iteration: 105 ; CPU: 30.78% ; MEM: 4681.20 MB
iteration: 106 ; CPU: 30.79% ; MEM: 4681.20 MB
iteration: 107 ; CPU: 30.80% ; MEM: 4681.20 MB
iteration: 108 ; CPU: 30.80% ; MEM: 4681.20 MB
iteration: 109 ; CPU: 30.87% ; MEM: 4681.20 MB
iteration: 110 ; CPU: 30.90% ; MEM: 4681.20 MB
iteration: 111 ; CPU: 30.91% ; MEM: 4681.20 MB
iteration: 112 ; CPU: 30.96% ; MEM: 4681.20 MB
iteration: 113 ; CPU: 30.96% ; MEM: 4681.20 MB
iteration: 114 ; CPU: 30.98% ; MEM: 4681.20 MB
iteration: 115 ; CPU: 31.02% ; MEM: 4681.20 MB
iteration: 116 ; CPU: 31.07% ; MEM: 4681.26 MB
iteration: 117 ; CPU: 31.05% ; MEM: 4681.26 MB
iteration: 118 ; CPU: 30.81% ; MEM: 4681.41 MB
iteration: 119 ; CPU: 30.82% ; MEM: 4681.41 MB
iteration: 120 ; CPU: 30.80% ; MEM: 4681.41 MB
iteration: 121 ; CPU: 30.86% ; MEM: 4681.46 MB
iteration: 122 ; CPU: 30.85% ; MEM: 4681.46 MB
iteration: 123 ; CPU: 30.89% ; MEM: 4682.45 MB
iteration: 124 ; CPU: 30.90% ; MEM: 4682.58 MB
iteration: 125 ; CPU: 30.94% ; MEM: 4682.70 MB
iteration: 126 ; CPU: 30.93% ; MEM: 4682.70 MB
iteration: 127 ; CPU: 30.93% ; MEM: 4682.70 MB
iteration: 128 ; CPU: 30.92% ; MEM: 4682.70 MB
iteration: 129 ; CPU: 30.93% ; MEM: 4682.70 MB
iteration: 130 ; CPU: 30.96% ; MEM: 4682.70 MB
iteration: 131 ; CPU: 31.00% ; MEM: 4683.98 MB
iteration: 132 ; CPU: 31.01% ; MEM: 4683.97 MB
iteration: 133 ; CPU: 31.02% ; MEM: 4683.97 MB
iteration: 134 ; CPU: 31.00% ; MEM: 4684.16 MB
iteration: 135 ; CPU: 31.01% ; MEM: 4684.16 MB
iteration: 136 ; CPU: 31.04% ; MEM: 4684.16 MB
iteration: 137 ; CPU: 31.05% ; MEM: 4684.16 MB
iteration: 138 ; CPU: 31.05% ; MEM: 4684.21 MB
iteration: 139 ; CPU: 31.07% ; MEM: 4684.21 MB
iteration: 140 ; CPU: 30.85% ; MEM: 4691.42 MB
iteration: 141 ; CPU: 30.85% ; MEM: 4691.42 MB
iteration: 142 ; CPU: 30.89% ; MEM: 4691.41 MB
iteration: 143 ; CPU: 30.88% ; MEM: 4691.41 MB
iteration: 144 ; CPU: 30.90% ; MEM: 4691.50 MB
iteration: 145 ; CPU: 30.90% ; MEM: 4691.50 MB
iteration: 146 ; CPU: 30.92% ; MEM: 4691.64 MB
iteration: 147 ; CPU: 30.92% ; MEM: 4691.64 MB
iteration: 148 ; CPU: 30.96% ; MEM: 4683.50 MB
iteration: 149 ; CPU: 30.97% ; MEM: 4683.50 MB
iteration: 150 ; CPU: 30.98% ; MEM: 4683.59 MB
iteration: 151 ; CPU: 31.00% ; MEM: 4683.59 MB
iteration: 152 ; CPU: 30.99% ; MEM: 4683.59 MB
iteration: 153 ; CPU: 30.99% ; MEM: 4683.59 MB
iteration: 154 ; CPU: 30.99% ; MEM: 4683.59 MB
iteration: 155 ; CPU: 31.02% ; MEM: 4683.59 MB
iteration: 156 ; CPU: 31.05% ; MEM: 4683.59 MB
iteration: 157 ; CPU: 31.03% ; MEM: 4683.59 MB
iteration: 158 ; CPU: 31.04% ; MEM: 4685.71 MB
iteration: 159 ; CPU: 31.04% ; MEM: 4686.14 MB
iteration: 160 ; CPU: 31.07% ; MEM: 4686.14 MB
iteration: 161 ; CPU: 31.09% ; MEM: 4686.40 MB
iteration: 162 ; CPU: 30.92% ; MEM: 4687.60 MB
iteration: 163 ; CPU: 30.93% ; MEM: 4690.40 MB
iteration: 164 ; CPU: 30.94% ; MEM: 4695.49 MB
iteration: 165 ; CPU: 30.94% ; MEM: 4695.57 MB
iteration: 166 ; CPU: 30.95% ; MEM: 4695.75 MB
iteration: 167 ; CPU: 30.95% ; MEM: 4696.48 MB
iteration: 168 ; CPU: 30.97% ; MEM: 4696.48 MB
iteration: 169 ; CPU: 31.02% ; MEM: 4696.48 MB
iteration: 170 ; CPU: 31.02% ; MEM: 4696.80 MB
iteration: 171 ; CPU: 31.03% ; MEM: 4696.80 MB
iteration: 172 ; CPU: 31.03% ; MEM: 4696.80 MB
iteration: 173 ; CPU: 31.02% ; MEM: 4696.80 MB
iteration: 174 ; CPU: 31.03% ; MEM: 4696.80 MB
iteration: 175 ; CPU: 31.03% ; MEM: 4696.90 MB
iteration: 176 ; CPU: 31.03% ; MEM: 4696.90 MB
iteration: 177 ; CPU: 31.05% ; MEM: 4696.90 MB
iteration: 178 ; CPU: 31.09% ; MEM: 4696.91 MB
iteration: 179 ; CPU: 31.10% ; MEM: 4696.99 MB
iteration: 180 ; CPU: 31.10% ; MEM: 4696.99 MB
