ROS Processes Log
iteration: 119 ; CPU: 94.17% ; MEM: 8218.83 
iteration: 120 ; CPU: 96.62% ; MEM: 8233.29 
iteration: 121 ; CPU: 99.07% ; MEM: 8250.10 
iteration: 122 ; CPU: 101.78% ; MEM: 8260.39 
iteration: 123 ; CPU: 88.79% ; MEM: 8230.62 
iteration: 124 ; CPU: 72.68% ; MEM: 8165.89 
iteration: 125 ; CPU: 74.53% ; MEM: 8172.07 
iteration: 126 ; CPU: 76.44% ; MEM: 8186.80 
iteration: 127 ; CPU: 78.15% ; MEM: 8216.33 
iteration: 128 ; CPU: 71.61% ; MEM: 8288.16 
iteration: 129 ; CPU: 91.62% ; MEM: 8344.44 
iteration: 130 ; CPU: 94.10% ; MEM: 8382.13 
iteration: 131 ; CPU: 97.42% ; MEM: 8397.37 
iteration: 132 ; CPU: 91.41% ; MEM: 8360.21 
iteration: 133 ; CPU: 86.40% ; MEM: 8391.35 
iteration: 134 ; CPU: 91.93% ; MEM: 8419.14 
iteration: 135 ; CPU: 99.50% ; MEM: 8461.57 
iteration: 136 ; CPU: 102.67% ; MEM: 8475.70 
iteration: 137 ; CPU: 106.51% ; MEM: 8483.44 
iteration: 138 ; CPU: 103.58% ; MEM: 8451.37 
iteration: 139 ; CPU: 69.58% ; MEM: 8299.14 
iteration: 140 ; CPU: 63.24% ; MEM: 8265.24 
iteration: 141 ; CPU: 64.15% ; MEM: 8279.69 
iteration: 142 ; CPU: 64.99% ; MEM: 8284.59 
iteration: 143 ; CPU: 65.92% ; MEM: 8300.32 
iteration: 144 ; CPU: 66.54% ; MEM: 8336.69 
iteration: 145 ; CPU: 76.31% ; MEM: 8387.98 
iteration: 146 ; CPU: 77.90% ; MEM: 8405.39 
iteration: 147 ; CPU: 79.89% ; MEM: 8411.59 
iteration: 148 ; CPU: 81.89% ; MEM: 8426.07 
iteration: 149 ; CPU: 83.74% ; MEM: 8432.58 
iteration: 150 ; CPU: 66.12% ; MEM: 8379.64 
iteration: 151 ; CPU: 69.91% ; MEM: 8445.75 
iteration: 152 ; CPU: 70.84% ; MEM: 8465.24 
iteration: 153 ; CPU: 72.29% ; MEM: 8476.07 
iteration: 154 ; CPU: 73.66% ; MEM: 8486.12 
iteration: 155 ; CPU: 75.05% ; MEM: 8487.80 
iteration: 156 ; CPU: 61.72% ; MEM: 8421.33 
iteration: 157 ; CPU: 62.45% ; MEM: 8427.01 
iteration: 158 ; CPU: 63.18% ; MEM: 8430.62 
iteration: 159 ; CPU: 63.85% ; MEM: 8448.67 
iteration: 160 ; CPU: 64.56% ; MEM: 8448.93 
iteration: 161 ; CPU: 65.25% ; MEM: 8468.51 
iteration: 162 ; CPU: 61.89% ; MEM: 8471.62 
iteration: 163 ; CPU: 62.62% ; MEM: 8473.63 
iteration: 164 ; CPU: 63.21% ; MEM: 8492.71 
iteration: 165 ; CPU: 63.97% ; MEM: 8494.01 
iteration: 166 ; CPU: 64.65% ; MEM: 8497.65 
iteration: 167 ; CPU: 65.36% ; MEM: 8500.48 
iteration: 168 ; CPU: 62.26% ; MEM: 8519.30 
iteration: 169 ; CPU: 62.90% ; MEM: 8520.60 
iteration: 170 ; CPU: 63.58% ; MEM: 8520.60 
iteration: 171 ; CPU: 64.25% ; MEM: 8520.60 
iteration: 172 ; CPU: 64.86% ; MEM: 8520.86 
iteration: 173 ; CPU: 65.48% ; MEM: 8528.08 
iteration: 174 ; CPU: 62.54% ; MEM: 8541.74 
iteration: 175 ; CPU: 63.17% ; MEM: 8542.26 
iteration: 176 ; CPU: 63.76% ; MEM: 8543.31 
iteration: 177 ; CPU: 64.36% ; MEM: 8543.32 
iteration: 178 ; CPU: 65.00% ; MEM: 8543.32 
iteration: 179 ; CPU: 65.60% ; MEM: 8543.32 
