ROS Processes Log
iteration: 122 ; CPU: 90.95% ; MEM: 7921.98 MB
iteration: 123 ; CPU: 82.42% ; MEM: 7943.94 MB
iteration: 124 ; CPU: 83.45% ; MEM: 7958.21 MB
iteration: 125 ; CPU: 77.27% ; MEM: 7963.00 MB
iteration: 126 ; CPU: 78.74% ; MEM: 7965.88 MB
iteration: 127 ; CPU: 80.31% ; MEM: 7983.75 MB
iteration: 128 ; CPU: 81.84% ; MEM: 7990.89 MB
iteration: 129 ; CPU: 74.19% ; MEM: 7995.49 MB
iteration: 130 ; CPU: 75.30% ; MEM: 8050.96 MB
iteration: 131 ; CPU: 88.59% ; MEM: 8110.57 MB
iteration: 132 ; CPU: 90.73% ; MEM: 8120.03 MB
iteration: 133 ; CPU: 92.75% ; MEM: 8129.10 MB
iteration: 134 ; CPU: 85.00% ; MEM: 8110.19 MB
iteration: 135 ; CPU: 86.10% ; MEM: 8162.23 MB
iteration: 136 ; CPU: 70.53% ; MEM: 8189.82 MB
iteration: 137 ; CPU: 93.40% ; MEM: 8208.68 MB
iteration: 138 ; CPU: 96.27% ; MEM: 8223.42 MB
iteration: 139 ; CPU: 98.93% ; MEM: 8268.30 MB
iteration: 140 ; CPU: 92.59% ; MEM: 8272.12 MB
iteration: 141 ; CPU: 66.55% ; MEM: 8232.67 MB
iteration: 142 ; CPU: 86.65% ; MEM: 8250.75 MB
iteration: 143 ; CPU: 88.71% ; MEM: 8266.73 MB
iteration: 144 ; CPU: 85.21% ; MEM: 8230.62 MB
iteration: 145 ; CPU: 78.72% ; MEM: 8212.44 MB
iteration: 146 ; CPU: 80.39% ; MEM: 8247.93 MB
iteration: 147 ; CPU: 64.19% ; MEM: 8204.92 MB
iteration: 148 ; CPU: 83.16% ; MEM: 8252.73 MB
iteration: 149 ; CPU: 84.77% ; MEM: 8267.69 MB
iteration: 150 ; CPU: 86.37% ; MEM: 8273.11 MB
iteration: 151 ; CPU: 88.37% ; MEM: 8282.49 MB
iteration: 152 ; CPU: 80.82% ; MEM: 8282.33 MB
iteration: 153 ; CPU: 61.86% ; MEM: 8268.93 MB
iteration: 154 ; CPU: 80.31% ; MEM: 8378.44 MB
iteration: 155 ; CPU: 82.11% ; MEM: 8399.05 MB
iteration: 156 ; CPU: 84.10% ; MEM: 8443.96 MB
iteration: 157 ; CPU: 77.26% ; MEM: 8416.38 MB
iteration: 158 ; CPU: 71.04% ; MEM: 8405.53 MB
iteration: 159 ; CPU: 77.83% ; MEM: 8437.27 MB
iteration: 160 ; CPU: 70.51% ; MEM: 8401.88 MB
iteration: 161 ; CPU: 72.38% ; MEM: 8417.62 MB
iteration: 162 ; CPU: 74.36% ; MEM: 8423.03 MB
iteration: 163 ; CPU: 76.17% ; MEM: 8433.18 MB
iteration: 164 ; CPU: 60.84% ; MEM: 8363.09 MB
iteration: 165 ; CPU: 57.39% ; MEM: 8367.48 MB
iteration: 166 ; CPU: 58.19% ; MEM: 8385.03 MB
iteration: 167 ; CPU: 58.98% ; MEM: 8388.89 MB
iteration: 168 ; CPU: 59.77% ; MEM: 8396.89 MB
iteration: 169 ; CPU: 60.24% ; MEM: 8446.03 MB
iteration: 170 ; CPU: 60.98% ; MEM: 8453.19 MB
iteration: 171 ; CPU: 66.98% ; MEM: 8472.30 MB
iteration: 172 ; CPU: 68.15% ; MEM: 8474.88 MB
iteration: 173 ; CPU: 69.45% ; MEM: 8477.03 MB
iteration: 174 ; CPU: 59.93% ; MEM: 8455.83 MB
iteration: 175 ; CPU: 60.60% ; MEM: 8456.10 MB
iteration: 176 ; CPU: 61.39% ; MEM: 8461.26 MB
iteration: 177 ; CPU: 58.47% ; MEM: 8477.50 MB
iteration: 178 ; CPU: 59.24% ; MEM: 8479.82 MB
iteration: 179 ; CPU: 59.90% ; MEM: 8481.68 MB
iteration: 180 ; CPU: 60.61% ; MEM: 8502.60 MB
iteration: 181 ; CPU: 61.22% ; MEM: 8503.64 MB
iteration: 182 ; CPU: 58.40% ; MEM: 8503.65 MB
iteration: 183 ; CPU: 59.04% ; MEM: 8504.69 MB
iteration: 184 ; CPU: 59.67% ; MEM: 8509.61 MB
iteration: 185 ; CPU: 60.35% ; MEM: 8526.32 MB
iteration: 186 ; CPU: 61.03% ; MEM: 8527.61 MB
iteration: 187 ; CPU: 61.74% ; MEM: 8528.06 MB
