Java Processes Log
iteration: 386 ; CPU: 6.67% ; MEM: 837.92 
iteration: 387 ; CPU: 6.70% ; MEM: 837.92 
iteration: 388 ; CPU: 6.70% ; MEM: 837.92 
iteration: 389 ; CPU: 6.30% ; MEM: 837.92 
iteration: 390 ; CPU: 6.33% ; MEM: 837.92 
iteration: 391 ; CPU: 6.33% ; MEM: 837.92 
iteration: 392 ; CPU: 6.33% ; MEM: 837.92 
iteration: 393 ; CPU: 6.36% ; MEM: 837.92 
iteration: 394 ; CPU: 6.01% ; MEM: 837.92 
iteration: 395 ; CPU: 6.01% ; MEM: 838.17 
iteration: 396 ; CPU: 6.04% ; MEM: 838.17 
iteration: 397 ; CPU: 6.04% ; MEM: 838.17 
iteration: 398 ; CPU: 6.04% ; MEM: 838.17 
iteration: 399 ; CPU: 6.04% ; MEM: 838.17 
iteration: 400 ; CPU: 5.76% ; MEM: 838.17 
iteration: 401 ; CPU: 5.76% ; MEM: 838.17 
iteration: 402 ; CPU: 5.76% ; MEM: 838.17 
iteration: 403 ; CPU: 5.76% ; MEM: 838.17 
iteration: 404 ; CPU: 5.80% ; MEM: 838.17 
iteration: 405 ; CPU: 5.52% ; MEM: 838.17 
iteration: 406 ; CPU: 5.53% ; MEM: 838.17 
iteration: 407 ; CPU: 5.54% ; MEM: 838.17 
iteration: 408 ; CPU: 5.54% ; MEM: 838.17 
iteration: 409 ; CPU: 5.55% ; MEM: 838.17 
iteration: 410 ; CPU: 5.56% ; MEM: 838.28 
iteration: 411 ; CPU: 5.31% ; MEM: 838.28 
iteration: 412 ; CPU: 5.32% ; MEM: 838.28 
iteration: 413 ; CPU: 5.33% ; MEM: 838.28 
iteration: 414 ; CPU: 5.34% ; MEM: 838.28 
iteration: 415 ; CPU: 5.35% ; MEM: 838.28 
iteration: 416 ; CPU: 5.12% ; MEM: 838.28 
iteration: 417 ; CPU: 5.13% ; MEM: 838.28 
iteration: 418 ; CPU: 5.14% ; MEM: 838.37 
iteration: 419 ; CPU: 5.15% ; MEM: 838.45 
iteration: 420 ; CPU: 5.16% ; MEM: 838.45 
iteration: 421 ; CPU: 5.16% ; MEM: 838.45 
iteration: 422 ; CPU: 4.95% ; MEM: 838.45 
iteration: 423 ; CPU: 4.96% ; MEM: 838.45 
iteration: 424 ; CPU: 4.97% ; MEM: 838.45 
iteration: 425 ; CPU: 4.98% ; MEM: 838.45 
iteration: 426 ; CPU: 4.99% ; MEM: 838.45 
iteration: 427 ; CPU: 4.79% ; MEM: 838.45 
iteration: 428 ; CPU: 4.80% ; MEM: 838.45 
iteration: 429 ; CPU: 4.80% ; MEM: 838.45 
iteration: 430 ; CPU: 4.81% ; MEM: 838.50 
iteration: 431 ; CPU: 4.82% ; MEM: 838.50 
iteration: 432 ; CPU: 4.64% ; MEM: 838.50 
iteration: 433 ; CPU: 4.64% ; MEM: 838.50 
iteration: 434 ; CPU: 4.65% ; MEM: 838.58 
iteration: 435 ; CPU: 4.66% ; MEM: 838.58 
iteration: 436 ; CPU: 4.67% ; MEM: 838.58 
iteration: 437 ; CPU: 4.68% ; MEM: 838.58 
iteration: 438 ; CPU: 4.51% ; MEM: 838.58 
iteration: 439 ; CPU: 4.51% ; MEM: 838.58 
iteration: 440 ; CPU: 4.52% ; MEM: 838.62 
iteration: 441 ; CPU: 4.53% ; MEM: 838.62 
iteration: 442 ; CPU: 4.54% ; MEM: 838.62 
iteration: 443 ; CPU: 4.38% ; MEM: 838.62 
iteration: 444 ; CPU: 4.39% ; MEM: 838.62 
iteration: 445 ; CPU: 4.40% ; MEM: 838.77 
iteration: 446 ; CPU: 4.41% ; MEM: 838.85 
iteration: 447 ; CPU: 4.41% ; MEM: 838.85 
iteration: 448 ; CPU: 4.42% ; MEM: 838.85 
iteration: 449 ; CPU: 4.27% ; MEM: 838.85 
iteration: 450 ; CPU: 4.28% ; MEM: 838.89 
iteration: 451 ; CPU: 4.29% ; MEM: 839.29 
iteration: 452 ; CPU: 4.30% ; MEM: 839.29 
iteration: 453 ; CPU: 4.30% ; MEM: 839.51 
iteration: 454 ; CPU: 4.16% ; MEM: 839.51 
iteration: 455 ; CPU: 4.17% ; MEM: 839.51 
iteration: 456 ; CPU: 4.18% ; MEM: 839.51 
iteration: 457 ; CPU: 4.18% ; MEM: 839.51 
iteration: 458 ; CPU: 4.20% ; MEM: 839.51 
iteration: 459 ; CPU: 4.06% ; MEM: 839.51 
iteration: 460 ; CPU: 4.07% ; MEM: 839.51 
iteration: 461 ; CPU: 4.08% ; MEM: 839.51 
iteration: 462 ; CPU: 4.08% ; MEM: 839.51 
iteration: 463 ; CPU: 4.09% ; MEM: 839.51 
iteration: 464 ; CPU: 4.10% ; MEM: 839.51 
iteration: 465 ; CPU: 3.97% ; MEM: 839.51 
iteration: 466 ; CPU: 3.98% ; MEM: 839.51 
iteration: 467 ; CPU: 3.99% ; MEM: 839.51 
iteration: 468 ; CPU: 3.99% ; MEM: 839.51 
iteration: 469 ; CPU: 4.00% ; MEM: 839.51 
iteration: 470 ; CPU: 3.88% ; MEM: 839.51 
iteration: 471 ; CPU: 3.89% ; MEM: 839.51 
iteration: 472 ; CPU: 3.89% ; MEM: 839.51 
iteration: 473 ; CPU: 3.90% ; MEM: 839.51 
iteration: 474 ; CPU: 3.90% ; MEM: 839.51 
iteration: 475 ; CPU: 3.91% ; MEM: 839.51 
iteration: 476 ; CPU: 3.79% ; MEM: 839.51 
iteration: 477 ; CPU: 3.80% ; MEM: 839.52 
iteration: 478 ; CPU: 3.80% ; MEM: 839.52 
iteration: 479 ; CPU: 3.81% ; MEM: 839.52 
iteration: 480 ; CPU: 3.81% ; MEM: 839.52 
iteration: 481 ; CPU: 3.71% ; MEM: 839.52 
iteration: 482 ; CPU: 3.71% ; MEM: 839.52 
iteration: 483 ; CPU: 3.72% ; MEM: 839.52 
iteration: 484 ; CPU: 3.73% ; MEM: 839.52 
iteration: 485 ; CPU: 3.73% ; MEM: 839.52 
iteration: 486 ; CPU: 3.74% ; MEM: 839.52 
iteration: 487 ; CPU: 3.64% ; MEM: 839.52 
iteration: 488 ; CPU: 3.64% ; MEM: 839.60 
iteration: 489 ; CPU: 3.65% ; MEM: 839.60 
iteration: 490 ; CPU: 3.65% ; MEM: 839.60 
iteration: 491 ; CPU: 3.66% ; MEM: 839.60 
iteration: 492 ; CPU: 3.56% ; MEM: 839.60 
iteration: 493 ; CPU: 3.57% ; MEM: 839.62 
iteration: 494 ; CPU: 3.57% ; MEM: 839.62 
iteration: 495 ; CPU: 3.58% ; MEM: 839.62 
iteration: 496 ; CPU: 3.58% ; MEM: 839.62 
iteration: 497 ; CPU: 3.49% ; MEM: 839.62 
iteration: 498 ; CPU: 3.50% ; MEM: 839.62 
iteration: 499 ; CPU: 3.50% ; MEM: 839.62 
iteration: 500 ; CPU: 3.51% ; MEM: 839.62 
iteration: 501 ; CPU: 3.51% ; MEM: 839.62 
iteration: 502 ; CPU: 3.52% ; MEM: 839.62 
iteration: 503 ; CPU: 3.43% ; MEM: 839.62 
iteration: 504 ; CPU: 3.44% ; MEM: 839.62 
iteration: 505 ; CPU: 3.45% ; MEM: 839.62 
iteration: 506 ; CPU: 3.45% ; MEM: 839.62 
iteration: 507 ; CPU: 3.45% ; MEM: 839.62 
iteration: 508 ; CPU: 3.37% ; MEM: 839.62 
iteration: 509 ; CPU: 3.38% ; MEM: 839.62 
iteration: 510 ; CPU: 3.39% ; MEM: 839.62 
iteration: 511 ; CPU: 3.39% ; MEM: 839.62 
iteration: 512 ; CPU: 3.40% ; MEM: 839.62 
iteration: 513 ; CPU: 3.40% ; MEM: 839.62 
iteration: 514 ; CPU: 3.32% ; MEM: 839.62 
iteration: 515 ; CPU: 3.32% ; MEM: 839.62 
iteration: 516 ; CPU: 3.33% ; MEM: 839.62 
iteration: 517 ; CPU: 3.33% ; MEM: 839.62 
iteration: 518 ; CPU: 3.34% ; MEM: 839.62 
iteration: 519 ; CPU: 3.26% ; MEM: 839.62 
iteration: 520 ; CPU: 3.26% ; MEM: 839.62 
iteration: 521 ; CPU: 3.27% ; MEM: 839.62 
iteration: 522 ; CPU: 3.27% ; MEM: 839.62 
iteration: 523 ; CPU: 3.28% ; MEM: 839.62 
iteration: 524 ; CPU: 3.28% ; MEM: 839.62 
iteration: 525 ; CPU: 3.21% ; MEM: 839.62 
iteration: 526 ; CPU: 3.22% ; MEM: 839.62 
iteration: 527 ; CPU: 3.22% ; MEM: 839.62 
iteration: 528 ; CPU: 3.23% ; MEM: 839.62 
iteration: 529 ; CPU: 3.23% ; MEM: 839.62 
iteration: 530 ; CPU: 3.16% ; MEM: 839.62 
iteration: 531 ; CPU: 3.17% ; MEM: 839.62 
iteration: 532 ; CPU: 3.17% ; MEM: 839.62 
iteration: 533 ; CPU: 3.18% ; MEM: 839.62 
iteration: 534 ; CPU: 3.18% ; MEM: 839.62 
iteration: 535 ; CPU: 3.19% ; MEM: 839.62 
iteration: 536 ; CPU: 3.12% ; MEM: 839.62 
iteration: 537 ; CPU: 3.12% ; MEM: 839.62 
iteration: 538 ; CPU: 3.13% ; MEM: 839.62 
iteration: 539 ; CPU: 3.14% ; MEM: 839.62 
iteration: 540 ; CPU: 3.14% ; MEM: 839.71 
iteration: 541 ; CPU: 3.08% ; MEM: 839.71 
iteration: 542 ; CPU: 3.09% ; MEM: 839.71 
iteration: 543 ; CPU: 3.09% ; MEM: 839.71 
iteration: 544 ; CPU: 3.10% ; MEM: 839.71 
iteration: 545 ; CPU: 3.10% ; MEM: 839.71 
iteration: 546 ; CPU: 3.04% ; MEM: 839.71 
iteration: 547 ; CPU: 3.05% ; MEM: 839.71 
iteration: 548 ; CPU: 3.05% ; MEM: 839.71 
iteration: 549 ; CPU: 3.06% ; MEM: 839.71 
iteration: 550 ; CPU: 3.06% ; MEM: 839.71 
iteration: 551 ; CPU: 3.07% ; MEM: 839.71 
iteration: 552 ; CPU: 3.00% ; MEM: 839.75 
iteration: 553 ; CPU: 3.01% ; MEM: 839.75 
iteration: 554 ; CPU: 3.01% ; MEM: 839.75 
iteration: 555 ; CPU: 3.02% ; MEM: 840.03 
iteration: 556 ; CPU: 3.02% ; MEM: 840.03 
iteration: 557 ; CPU: 2.97% ; MEM: 840.03 
iteration: 558 ; CPU: 2.97% ; MEM: 840.03 
iteration: 559 ; CPU: 2.97% ; MEM: 840.03 
iteration: 560 ; CPU: 2.98% ; MEM: 840.03 
iteration: 561 ; CPU: 2.98% ; MEM: 840.04 
iteration: 562 ; CPU: 2.99% ; MEM: 840.04 
iteration: 563 ; CPU: 2.93% ; MEM: 840.04 
iteration: 564 ; CPU: 2.93% ; MEM: 840.04 
iteration: 565 ; CPU: 2.94% ; MEM: 840.04 
iteration: 566 ; CPU: 2.95% ; MEM: 842.35 
iteration: 567 ; CPU: 2.95% ; MEM: 842.35 
iteration: 568 ; CPU: 2.90% ; MEM: 842.35 
iteration: 569 ; CPU: 2.91% ; MEM: 842.40 
iteration: 570 ; CPU: 2.91% ; MEM: 842.40 
iteration: 571 ; CPU: 2.92% ; MEM: 842.40 
iteration: 572 ; CPU: 2.92% ; MEM: 842.40 
iteration: 573 ; CPU: 2.87% ; MEM: 842.40 
iteration: 574 ; CPU: 2.87% ; MEM: 842.40 
iteration: 575 ; CPU: 2.88% ; MEM: 842.40 
iteration: 576 ; CPU: 2.88% ; MEM: 842.40 
iteration: 577 ; CPU: 2.89% ; MEM: 842.40 
iteration: 578 ; CPU: 2.89% ; MEM: 842.40 
iteration: 579 ; CPU: 2.84% ; MEM: 842.40 
