ROS Processes Log
iteration: 119 ; CPU: 88.67% ; MEM: 8061.74 MB
iteration: 120 ; CPU: 94.57% ; MEM: 8134.53 MB
iteration: 121 ; CPU: 96.44% ; MEM: 8143.66 MB
iteration: 122 ; CPU: 98.45% ; MEM: 8153.48 MB
iteration: 123 ; CPU: 100.27% ; MEM: 8161.89 MB
iteration: 124 ; CPU: 86.59% ; MEM: 8128.85 MB
iteration: 125 ; CPU: 88.92% ; MEM: 8160.80 MB
iteration: 126 ; CPU: 91.45% ; MEM: 8184.06 MB
iteration: 127 ; CPU: 93.11% ; MEM: 8193.19 MB
iteration: 128 ; CPU: 94.88% ; MEM: 8209.97 MB
iteration: 129 ; CPU: 97.50% ; MEM: 8225.54 MB
iteration: 130 ; CPU: 74.91% ; MEM: 8162.55 MB
iteration: 131 ; CPU: 86.76% ; MEM: 8241.79 MB
iteration: 132 ; CPU: 88.50% ; MEM: 8256.20 MB
iteration: 133 ; CPU: 90.36% ; MEM: 8264.02 MB
iteration: 134 ; CPU: 92.24% ; MEM: 8275.91 MB
iteration: 135 ; CPU: 78.24% ; MEM: 8258.77 MB
iteration: 136 ; CPU: 83.16% ; MEM: 8293.81 MB
iteration: 137 ; CPU: 84.55% ; MEM: 8300.68 MB
iteration: 138 ; CPU: 78.68% ; MEM: 8275.57 MB
iteration: 139 ; CPU: 79.80% ; MEM: 8295.14 MB
iteration: 140 ; CPU: 69.34% ; MEM: 8365.41 MB
iteration: 141 ; CPU: 98.10% ; MEM: 8463.14 MB
iteration: 142 ; CPU: 101.87% ; MEM: 8468.94 MB
iteration: 143 ; CPU: 105.59% ; MEM: 8478.25 MB
iteration: 144 ; CPU: 102.88% ; MEM: 8447.06 MB
iteration: 145 ; CPU: 73.95% ; MEM: 8402.25 MB
iteration: 146 ; CPU: 72.02% ; MEM: 8374.08 MB
iteration: 147 ; CPU: 73.31% ; MEM: 8387.34 MB
iteration: 148 ; CPU: 75.17% ; MEM: 8396.07 MB
iteration: 149 ; CPU: 77.18% ; MEM: 8407.16 MB
iteration: 150 ; CPU: 79.43% ; MEM: 8414.75 MB
iteration: 151 ; CPU: 61.70% ; MEM: 8305.01 MB
iteration: 152 ; CPU: 62.54% ; MEM: 8309.66 MB
iteration: 153 ; CPU: 63.35% ; MEM: 8326.16 MB
iteration: 154 ; CPU: 64.18% ; MEM: 8331.33 MB
iteration: 155 ; CPU: 64.85% ; MEM: 8381.51 MB
iteration: 156 ; CPU: 68.28% ; MEM: 8394.32 MB
iteration: 157 ; CPU: 68.89% ; MEM: 8470.90 MB
iteration: 158 ; CPU: 69.70% ; MEM: 8496.58 MB
iteration: 159 ; CPU: 70.75% ; MEM: 8501.84 MB
iteration: 160 ; CPU: 64.04% ; MEM: 8464.83 MB
iteration: 161 ; CPU: 64.76% ; MEM: 8480.91 MB
iteration: 162 ; CPU: 61.19% ; MEM: 8400.99 MB
iteration: 163 ; CPU: 61.87% ; MEM: 8418.78 MB
iteration: 164 ; CPU: 62.60% ; MEM: 8422.39 MB
iteration: 165 ; CPU: 63.25% ; MEM: 8423.17 MB
iteration: 166 ; CPU: 63.96% ; MEM: 8443.79 MB
iteration: 167 ; CPU: 64.72% ; MEM: 8444.57 MB
iteration: 168 ; CPU: 61.42% ; MEM: 8459.00 MB
iteration: 169 ; CPU: 62.10% ; MEM: 8467.56 MB
iteration: 170 ; CPU: 62.80% ; MEM: 8469.10 MB
iteration: 171 ; CPU: 63.52% ; MEM: 8488.44 MB
iteration: 172 ; CPU: 64.17% ; MEM: 8490.00 MB
iteration: 173 ; CPU: 64.85% ; MEM: 8493.53 MB
iteration: 174 ; CPU: 61.70% ; MEM: 8500.49 MB
iteration: 175 ; CPU: 62.42% ; MEM: 8514.67 MB
iteration: 176 ; CPU: 63.07% ; MEM: 8515.19 MB
iteration: 177 ; CPU: 63.75% ; MEM: 8516.50 MB
iteration: 178 ; CPU: 64.44% ; MEM: 8517.95 MB
iteration: 179 ; CPU: 65.07% ; MEM: 8531.37 MB
iteration: 180 ; CPU: 62.21% ; MEM: 8539.10 MB
iteration: 181 ; CPU: 62.78% ; MEM: 8539.11 MB
iteration: 182 ; CPU: 63.43% ; MEM: 8539.11 MB
iteration: 183 ; CPU: 64.02% ; MEM: 8539.11 MB
iteration: 184 ; CPU: 64.71% ; MEM: 8539.11 MB
iteration: 185 ; CPU: 62.03% ; MEM: 8539.11 MB
iteration: 186 ; CPU: 62.62% ; MEM: 8541.69 MB
iteration: 187 ; CPU: 63.21% ; MEM: 8557.68 MB
iteration: 188 ; CPU: 63.76% ; MEM: 8561.04 MB
iteration: 189 ; CPU: 64.34% ; MEM: 8562.36 MB
iteration: 190 ; CPU: 64.96% ; MEM: 8562.37 MB
iteration: 191 ; CPU: 62.34% ; MEM: 8562.37 MB
iteration: 192 ; CPU: 62.88% ; MEM: 8562.37 MB
iteration: 193 ; CPU: 63.43% ; MEM: 8562.37 MB
iteration: 194 ; CPU: 63.98% ; MEM: 8562.37 MB
iteration: 195 ; CPU: 64.37% ; MEM: 8600.96 MB
iteration: 196 ; CPU: 64.99% ; MEM: 8606.57 MB
iteration: 197 ; CPU: 79.47% ; MEM: 8674.53 MB
iteration: 198 ; CPU: 84.12% ; MEM: 8695.94 MB
iteration: 199 ; CPU: 85.15% ; MEM: 8696.48 MB
iteration: 200 ; CPU: 78.82% ; MEM: 8652.50 MB
iteration: 201 ; CPU: 79.69% ; MEM: 8585.68 MB
iteration: 202 ; CPU: 73.70% ; MEM: 8586.15 MB
iteration: 203 ; CPU: 72.96% ; MEM: 8529.43 MB
iteration: 204 ; CPU: 73.88% ; MEM: 8507.11 MB
iteration: 205 ; CPU: 74.56% ; MEM: 8429.69 MB
iteration: 206 ; CPU: 75.91% ; MEM: 8360.98 MB
iteration: 207 ; CPU: 77.21% ; MEM: 8319.07 MB
iteration: 208 ; CPU: 71.89% ; MEM: 8260.08 MB
iteration: 209 ; CPU: 60.08% ; MEM: 8228.71 MB
iteration: 210 ; CPU: 60.60% ; MEM: 8231.78 MB
iteration: 211 ; CPU: 60.58% ; MEM: 8128.92 MB
iteration: 212 ; CPU: 61.11% ; MEM: 8129.21 MB
iteration: 213 ; CPU: 79.89% ; MEM: 8041.04 MB
iteration: 214 ; CPU: 58.58% ; MEM: 7863.13 MB
iteration: 215 ; CPU: 59.06% ; MEM: 7863.13 MB
iteration: 216 ; CPU: 59.60% ; MEM: 7863.13 MB
iteration: 217 ; CPU: 59.92% ; MEM: 7902.30 MB
iteration: 218 ; CPU: 63.96% ; MEM: 7907.62 MB
iteration: 219 ; CPU: 64.53% ; MEM: 7980.03 MB
iteration: 220 ; CPU: 65.36% ; MEM: 7962.11 MB
iteration: 221 ; CPU: 66.36% ; MEM: 7963.00 MB
iteration: 222 ; CPU: 59.23% ; MEM: 7848.98 MB
iteration: 223 ; CPU: 59.36% ; MEM: 7804.98 MB
iteration: 224 ; CPU: 76.35% ; MEM: 7716.60 MB
iteration: 225 ; CPU: 57.41% ; MEM: 7627.57 MB
iteration: 226 ; CPU: 57.83% ; MEM: 7627.57 MB
iteration: 227 ; CPU: 58.27% ; MEM: 7627.57 MB
iteration: 228 ; CPU: 58.70% ; MEM: 7627.57 MB
iteration: 229 ; CPU: 56.98% ; MEM: 7627.57 MB
iteration: 230 ; CPU: 57.41% ; MEM: 7627.57 MB
iteration: 231 ; CPU: 57.76% ; MEM: 7627.57 MB
iteration: 232 ; CPU: 58.16% ; MEM: 7627.57 MB
iteration: 233 ; CPU: 58.52% ; MEM: 7627.57 MB
iteration: 234 ; CPU: 58.95% ; MEM: 7627.83 MB
iteration: 235 ; CPU: 59.35% ; MEM: 7627.83 MB
iteration: 236 ; CPU: 57.70% ; MEM: 7627.83 MB
iteration: 237 ; CPU: 58.11% ; MEM: 7627.83 MB
iteration: 238 ; CPU: 58.50% ; MEM: 7627.83 MB
iteration: 239 ; CPU: 58.87% ; MEM: 7627.83 MB
iteration: 240 ; CPU: 59.29% ; MEM: 7628.09 MB
iteration: 241 ; CPU: 57.69% ; MEM: 7628.09 MB
iteration: 242 ; CPU: 58.04% ; MEM: 7628.09 MB
iteration: 243 ; CPU: 58.44% ; MEM: 7628.09 MB
iteration: 244 ; CPU: 58.83% ; MEM: 7628.09 MB
iteration: 245 ; CPU: 59.23% ; MEM: 7628.09 MB
iteration: 246 ; CPU: 59.62% ; MEM: 7628.09 MB
iteration: 247 ; CPU: 58.03% ; MEM: 7628.09 MB
iteration: 248 ; CPU: 58.38% ; MEM: 7628.09 MB
iteration: 249 ; CPU: 58.78% ; MEM: 7628.35 MB
iteration: 250 ; CPU: 59.14% ; MEM: 7628.35 MB
iteration: 251 ; CPU: 59.50% ; MEM: 7628.35 MB
iteration: 252 ; CPU: 59.86% ; MEM: 7628.35 MB
iteration: 253 ; CPU: 58.37% ; MEM: 7628.35 MB
iteration: 254 ; CPU: 58.70% ; MEM: 7628.35 MB
iteration: 255 ; CPU: 59.05% ; MEM: 7628.35 MB
iteration: 256 ; CPU: 59.45% ; MEM: 7628.35 MB
iteration: 257 ; CPU: 59.79% ; MEM: 7628.61 MB
iteration: 258 ; CPU: 60.15% ; MEM: 7628.61 MB
iteration: 259 ; CPU: 58.65% ; MEM: 7628.61 MB
iteration: 260 ; CPU: 59.01% ; MEM: 7628.61 MB
iteration: 261 ; CPU: 59.37% ; MEM: 7628.61 MB
iteration: 262 ; CPU: 59.72% ; MEM: 7628.61 MB
iteration: 263 ; CPU: 60.08% ; MEM: 7628.61 MB
iteration: 264 ; CPU: 60.41% ; MEM: 7628.61 MB
iteration: 265 ; CPU: 58.92% ; MEM: 7628.61 MB
