Java Processes Log
iteration: 372 ; CPU: 7.13% ; MEM: 862.34 MB
iteration: 373 ; CPU: 6.71% ; MEM: 862.34 MB
iteration: 374 ; CPU: 6.71% ; MEM: 862.34 MB
iteration: 375 ; CPU: 6.71% ; MEM: 862.34 MB
iteration: 376 ; CPU: 6.75% ; MEM: 862.65 MB
iteration: 377 ; CPU: 6.75% ; MEM: 862.65 MB
iteration: 378 ; CPU: 6.38% ; MEM: 862.65 MB
iteration: 379 ; CPU: 6.38% ; MEM: 862.92 MB
iteration: 380 ; CPU: 6.38% ; MEM: 862.92 MB
iteration: 381 ; CPU: 6.41% ; MEM: 862.92 MB
iteration: 382 ; CPU: 6.41% ; MEM: 863.52 MB
iteration: 383 ; CPU: 6.08% ; MEM: 863.52 MB
iteration: 384 ; CPU: 6.08% ; MEM: 863.52 MB
iteration: 385 ; CPU: 6.11% ; MEM: 863.52 MB
iteration: 386 ; CPU: 6.11% ; MEM: 863.52 MB
iteration: 387 ; CPU: 6.15% ; MEM: 863.78 MB
iteration: 388 ; CPU: 6.15% ; MEM: 863.78 MB
iteration: 389 ; CPU: 5.83% ; MEM: 863.78 MB
iteration: 390 ; CPU: 5.86% ; MEM: 863.87 MB
iteration: 391 ; CPU: 5.86% ; MEM: 863.87 MB
iteration: 392 ; CPU: 5.90% ; MEM: 863.87 MB
iteration: 393 ; CPU: 5.90% ; MEM: 863.87 MB
iteration: 394 ; CPU: 5.64% ; MEM: 863.87 MB
iteration: 395 ; CPU: 5.65% ; MEM: 863.87 MB
iteration: 396 ; CPU: 5.66% ; MEM: 863.87 MB
iteration: 397 ; CPU: 5.66% ; MEM: 864.11 MB
iteration: 398 ; CPU: 5.69% ; MEM: 864.11 MB
iteration: 399 ; CPU: 5.45% ; MEM: 864.11 MB
iteration: 400 ; CPU: 5.46% ; MEM: 864.11 MB
iteration: 401 ; CPU: 5.48% ; MEM: 864.11 MB
iteration: 402 ; CPU: 5.49% ; MEM: 864.11 MB
iteration: 403 ; CPU: 5.50% ; MEM: 864.11 MB
iteration: 404 ; CPU: 5.27% ; MEM: 864.11 MB
iteration: 405 ; CPU: 5.29% ; MEM: 864.19 MB
iteration: 406 ; CPU: 5.30% ; MEM: 864.21 MB
iteration: 407 ; CPU: 5.31% ; MEM: 864.21 MB
iteration: 408 ; CPU: 5.33% ; MEM: 864.21 MB
iteration: 409 ; CPU: 5.34% ; MEM: 864.53 MB
iteration: 410 ; CPU: 5.12% ; MEM: 864.53 MB
iteration: 411 ; CPU: 5.14% ; MEM: 864.53 MB
iteration: 412 ; CPU: 5.15% ; MEM: 864.53 MB
iteration: 413 ; CPU: 5.16% ; MEM: 864.53 MB
iteration: 414 ; CPU: 5.18% ; MEM: 864.53 MB
iteration: 415 ; CPU: 4.97% ; MEM: 864.53 MB
iteration: 416 ; CPU: 4.99% ; MEM: 864.59 MB
iteration: 417 ; CPU: 5.00% ; MEM: 864.59 MB
iteration: 418 ; CPU: 5.01% ; MEM: 864.59 MB
iteration: 419 ; CPU: 5.02% ; MEM: 864.59 MB
iteration: 420 ; CPU: 4.84% ; MEM: 864.59 MB
iteration: 421 ; CPU: 4.85% ; MEM: 864.63 MB
iteration: 422 ; CPU: 4.86% ; MEM: 864.63 MB
iteration: 423 ; CPU: 4.87% ; MEM: 864.63 MB
iteration: 424 ; CPU: 4.88% ; MEM: 864.63 MB
iteration: 425 ; CPU: 4.90% ; MEM: 864.63 MB
iteration: 426 ; CPU: 4.72% ; MEM: 864.83 MB
iteration: 427 ; CPU: 4.73% ; MEM: 864.83 MB
iteration: 428 ; CPU: 4.74% ; MEM: 864.85 MB
iteration: 429 ; CPU: 4.75% ; MEM: 864.85 MB
iteration: 430 ; CPU: 4.77% ; MEM: 865.04 MB
iteration: 431 ; CPU: 4.61% ; MEM: 865.04 MB
iteration: 432 ; CPU: 4.62% ; MEM: 865.04 MB
iteration: 433 ; CPU: 4.63% ; MEM: 865.04 MB
iteration: 434 ; CPU: 4.64% ; MEM: 865.04 MB
iteration: 435 ; CPU: 4.65% ; MEM: 865.04 MB
iteration: 436 ; CPU: 4.50% ; MEM: 865.30 MB
iteration: 437 ; CPU: 4.51% ; MEM: 865.30 MB
iteration: 438 ; CPU: 4.52% ; MEM: 865.30 MB
iteration: 439 ; CPU: 4.54% ; MEM: 865.30 MB
iteration: 440 ; CPU: 4.55% ; MEM: 865.30 MB
iteration: 441 ; CPU: 4.40% ; MEM: 865.30 MB
iteration: 442 ; CPU: 4.41% ; MEM: 865.30 MB
iteration: 443 ; CPU: 4.42% ; MEM: 865.30 MB
iteration: 444 ; CPU: 4.43% ; MEM: 865.30 MB
iteration: 445 ; CPU: 4.45% ; MEM: 865.30 MB
iteration: 446 ; CPU: 4.45% ; MEM: 865.30 MB
iteration: 447 ; CPU: 4.31% ; MEM: 865.30 MB
iteration: 448 ; CPU: 4.32% ; MEM: 865.30 MB
iteration: 449 ; CPU: 4.34% ; MEM: 865.30 MB
iteration: 450 ; CPU: 4.35% ; MEM: 865.30 MB
iteration: 451 ; CPU: 4.36% ; MEM: 865.30 MB
iteration: 452 ; CPU: 4.23% ; MEM: 865.30 MB
iteration: 453 ; CPU: 4.24% ; MEM: 865.30 MB
iteration: 454 ; CPU: 4.25% ; MEM: 865.30 MB
iteration: 455 ; CPU: 4.26% ; MEM: 865.30 MB
iteration: 456 ; CPU: 4.27% ; MEM: 865.30 MB
iteration: 457 ; CPU: 4.28% ; MEM: 865.38 MB
iteration: 458 ; CPU: 4.16% ; MEM: 865.38 MB
iteration: 459 ; CPU: 4.17% ; MEM: 865.38 MB
iteration: 460 ; CPU: 4.19% ; MEM: 865.38 MB
iteration: 461 ; CPU: 4.20% ; MEM: 865.39 MB
iteration: 462 ; CPU: 4.20% ; MEM: 865.39 MB
iteration: 463 ; CPU: 4.08% ; MEM: 865.39 MB
iteration: 464 ; CPU: 4.09% ; MEM: 865.39 MB
iteration: 465 ; CPU: 4.10% ; MEM: 865.39 MB
iteration: 466 ; CPU: 4.11% ; MEM: 865.39 MB
iteration: 467 ; CPU: 4.12% ; MEM: 865.39 MB
iteration: 468 ; CPU: 4.00% ; MEM: 865.39 MB
iteration: 469 ; CPU: 4.01% ; MEM: 865.50 MB
iteration: 470 ; CPU: 4.02% ; MEM: 865.50 MB
iteration: 471 ; CPU: 3.95% ; MEM: 779.04 MB
iteration: 472 ; CPU: 3.98% ; MEM: 785.94 MB
iteration: 473 ; CPU: 3.98% ; MEM: 785.94 MB
iteration: 474 ; CPU: 1.45% ; MEM: 414.79 MB
