Java Processes Log
iteration: 138 ; CPU: 2.54% ; MEM: 1485.32 MB
iteration: 139 ; CPU: 2.53% ; MEM: 1485.32 MB
iteration: 140 ; CPU: 2.52% ; MEM: 1485.39 MB
iteration: 141 ; CPU: 2.52% ; MEM: 1485.61 MB
iteration: 142 ; CPU: 2.51% ; MEM: 1485.92 MB
iteration: 143 ; CPU: 2.51% ; MEM: 1486.14 MB
iteration: 144 ; CPU: 2.50% ; MEM: 1486.14 MB
iteration: 145 ; CPU: 2.50% ; MEM: 1486.14 MB
iteration: 146 ; CPU: 2.49% ; MEM: 1486.14 MB
iteration: 147 ; CPU: 2.48% ; MEM: 1486.14 MB
iteration: 148 ; CPU: 2.48% ; MEM: 1486.19 MB
iteration: 149 ; CPU: 2.47% ; MEM: 1486.19 MB
iteration: 150 ; CPU: 2.47% ; MEM: 1486.26 MB
iteration: 151 ; CPU: 2.44% ; MEM: 1486.26 MB
iteration: 152 ; CPU: 2.44% ; MEM: 1486.26 MB
iteration: 153 ; CPU: 2.43% ; MEM: 1486.26 MB
iteration: 154 ; CPU: 2.43% ; MEM: 1486.26 MB
iteration: 155 ; CPU: 2.42% ; MEM: 1486.26 MB
iteration: 156 ; CPU: 2.41% ; MEM: 1486.47 MB
iteration: 157 ; CPU: 2.41% ; MEM: 1486.71 MB
iteration: 158 ; CPU: 2.40% ; MEM: 1487.07 MB
iteration: 159 ; CPU: 2.40% ; MEM: 1490.48 MB
iteration: 160 ; CPU: 2.40% ; MEM: 1490.58 MB
iteration: 161 ; CPU: 2.39% ; MEM: 1490.67 MB
iteration: 162 ; CPU: 2.39% ; MEM: 1490.69 MB
iteration: 163 ; CPU: 2.39% ; MEM: 1490.69 MB
iteration: 164 ; CPU: 2.36% ; MEM: 1490.78 MB
iteration: 165 ; CPU: 2.35% ; MEM: 1490.78 MB
iteration: 166 ; CPU: 2.35% ; MEM: 1490.87 MB
iteration: 167 ; CPU: 2.35% ; MEM: 1490.87 MB
iteration: 168 ; CPU: 2.35% ; MEM: 1490.87 MB
iteration: 169 ; CPU: 2.35% ; MEM: 1490.91 MB
iteration: 170 ; CPU: 2.34% ; MEM: 1490.91 MB
iteration: 171 ; CPU: 2.34% ; MEM: 1490.91 MB
iteration: 172 ; CPU: 2.33% ; MEM: 1490.91 MB
iteration: 173 ; CPU: 2.33% ; MEM: 1490.91 MB
iteration: 174 ; CPU: 2.33% ; MEM: 1490.94 MB
iteration: 175 ; CPU: 2.33% ; MEM: 1490.93 MB
iteration: 176 ; CPU: 2.32% ; MEM: 1490.93 MB
iteration: 177 ; CPU: 2.30% ; MEM: 1490.93 MB
iteration: 178 ; CPU: 2.30% ; MEM: 1490.93 MB
iteration: 179 ; CPU: 2.30% ; MEM: 1491.18 MB
iteration: 180 ; CPU: 2.29% ; MEM: 1491.18 MB
