ROS Processes Log
iteration: 99 ; CPU: 67.99% ; MEM: 8072.57 MB
iteration: 100 ; CPU: 67.40% ; MEM: 8072.76 MB
iteration: 101 ; CPU: 67.49% ; MEM: 8073.16 MB
iteration: 102 ; CPU: 67.60% ; MEM: 8073.39 MB
iteration: 103 ; CPU: 67.69% ; MEM: 8073.96 MB
iteration: 104 ; CPU: 67.76% ; MEM: 8074.08 MB
iteration: 105 ; CPU: 67.87% ; MEM: 8068.19 MB
iteration: 106 ; CPU: 67.93% ; MEM: 8068.37 MB
iteration: 107 ; CPU: 68.00% ; MEM: 8068.37 MB
iteration: 108 ; CPU: 68.10% ; MEM: 8068.40 MB
iteration: 109 ; CPU: 68.13% ; MEM: 8069.00 MB
iteration: 110 ; CPU: 68.24% ; MEM: 8069.00 MB
iteration: 111 ; CPU: 68.29% ; MEM: 8216.76 MB
iteration: 112 ; CPU: 67.75% ; MEM: 8689.51 MB
iteration: 113 ; CPU: 67.83% ; MEM: 8690.28 MB
iteration: 114 ; CPU: 67.87% ; MEM: 8693.63 MB
iteration: 115 ; CPU: 67.95% ; MEM: 8695.65 MB
iteration: 116 ; CPU: 68.04% ; MEM: 8696.35 MB
iteration: 117 ; CPU: 68.07% ; MEM: 8696.53 MB
iteration: 118 ; CPU: 68.15% ; MEM: 8696.61 MB
iteration: 119 ; CPU: 68.24% ; MEM: 8696.99 MB
iteration: 120 ; CPU: 68.28% ; MEM: 8697.03 MB
iteration: 121 ; CPU: 68.32% ; MEM: 8697.13 MB
iteration: 122 ; CPU: 68.42% ; MEM: 8697.35 MB
iteration: 123 ; CPU: 68.48% ; MEM: 8697.69 MB
iteration: 124 ; CPU: 68.57% ; MEM: 8697.95 MB
iteration: 125 ; CPU: 68.06% ; MEM: 8698.24 MB
iteration: 126 ; CPU: 68.16% ; MEM: 8704.68 MB
iteration: 127 ; CPU: 68.21% ; MEM: 8704.81 MB
iteration: 128 ; CPU: 68.26% ; MEM: 8704.81 MB
iteration: 129 ; CPU: 68.30% ; MEM: 8704.92 MB
iteration: 130 ; CPU: 68.39% ; MEM: 8705.07 MB
iteration: 131 ; CPU: 68.43% ; MEM: 8705.35 MB
iteration: 132 ; CPU: 68.48% ; MEM: 8705.35 MB
iteration: 133 ; CPU: 68.54% ; MEM: 8698.85 MB
iteration: 134 ; CPU: 68.60% ; MEM: 8699.09 MB
iteration: 135 ; CPU: 68.63% ; MEM: 8699.09 MB
iteration: 136 ; CPU: 68.65% ; MEM: 8699.09 MB
iteration: 137 ; CPU: 68.26% ; MEM: 8699.14 MB
iteration: 138 ; CPU: 68.30% ; MEM: 8699.40 MB
iteration: 139 ; CPU: 68.34% ; MEM: 8699.42 MB
iteration: 140 ; CPU: 68.38% ; MEM: 8699.50 MB
iteration: 141 ; CPU: 68.40% ; MEM: 8699.72 MB
iteration: 142 ; CPU: 68.47% ; MEM: 8700.43 MB
iteration: 143 ; CPU: 68.48% ; MEM: 8700.65 MB
iteration: 144 ; CPU: 68.52% ; MEM: 8700.65 MB
iteration: 145 ; CPU: 68.57% ; MEM: 8700.65 MB
iteration: 146 ; CPU: 68.60% ; MEM: 8700.65 MB
iteration: 147 ; CPU: 68.68% ; MEM: 8700.71 MB
iteration: 148 ; CPU: 68.70% ; MEM: 8700.71 MB
iteration: 149 ; CPU: 68.71% ; MEM: 8700.70 MB
iteration: 150 ; CPU: 68.76% ; MEM: 8700.76 MB
iteration: 151 ; CPU: 68.36% ; MEM: 8700.76 MB
iteration: 152 ; CPU: 68.39% ; MEM: 8700.76 MB
iteration: 153 ; CPU: 68.44% ; MEM: 8700.76 MB
